epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,79.5063,1.66189,1.01756,0.85544,0.39798,0.5,0.38572,0.07829,3.08522,1.38653,1.1004,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,80.7461,1.76886,1.03023,0.88454,0.59635,0.47818,0.42571,0.0912,2.85761,1.32128,1.0907,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,82.0698,1.75125,1.03834,0.88016,0.61483,0.58824,0.56627,0.12776,2.75297,1.27482,1.07668,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,83.3515,1.75989,1.03319,0.8565,0.5824,0.55882,0.49883,0.10773,2.87296,1.33632,1.0865,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,84.6848,1.77427,1.0466,0.87773,0.48943,0.47947,0.41702,0.0931,2.8757,1.34393,1.07788,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,85.9196,1.74879,1.03824,0.85976,0.48027,0.47059,0.40003,0.10667,2.65988,1.29274,1.06448,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,87.2527,1.66782,0.99876,0.85225,0.53542,0.47059,0.47279,0.11243,2.63256,1.24334,1.06808,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,88.4716,1.74888,1.01191,0.87968,0.52095,0.44118,0.42005,0.11365,2.60489,1.23086,1.05801,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,89.6412,1.78314,1.08921,0.87056,0.508,0.41176,0.42068,0.11487,2.53376,1.24136,1.05257,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,90.8875,1.66223,1.00869,0.85654,0.50443,0.41176,0.4204,0.1149,2.51641,1.2668,1.05096,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,92.2162,1.73371,1.03495,0.86773,0.54071,0.44118,0.45237,0.11566,2.51083,1.23842,1.05459,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,93.3454,1.78431,1.02648,0.86362,0.50989,0.41176,0.40882,0.12307,2.37125,1.24411,1.06192,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,94.5958,1.67901,1.07729,0.86897,0.48492,0.47059,0.45675,0.13342,2.42799,1.2498,1.07318,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,95.8663,1.73429,1.0634,0.87301,0.56333,0.47059,0.45428,0.13778,2.31298,1.21494,1.0591,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,97.2228,1.75588,1.04165,0.87633,0.55948,0.47059,0.44352,0.12618,2.43067,1.28162,1.05045,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
